Source,Destination,Length,SequenceID,MessageType,Time Interval,Label
0,2,58,19114,1,0.0,0
1,2,68,19114,9,0.000227,0
1,2,78,43810,11,0.008727,0
1,2,60,22057,0,1.899999999999992e-05,0
0,2,58,19115,1,0.018111000000000002,0
1,2,68,19115,9,0.00020500000000000032,0
1,2,60,22058,0,0.045637000000000004,0
1,2,78,43811,11,0.06402499999999998,0
1,2,60,22059,0,1.9000000000019e-05,0
0,2,58,19116,1,0.013031999999999988,0
1,2,68,19116,9,0.00020200000000000773,0
0,2,58,19117,1,0.013312999999999992,0
1,2,68,19117,9,0.00021000000000001573,0
0,2,58,19118,1,0.012309999999999988,0
1,2,68,19118,9,0.00018399999999998973,0
1,2,60,22060,0,0.01671800000000001,0
0,2,58,19119,1,0.04769699999999999,0
1,2,68,19119,9,0.00022099999999999898,0
1,2,78,43812,11,0.016076000000000035,0
1,2,60,22061,0,5.1999999999996493e-05,0
0,2,58,19120,1,0.02898099999999998,0
1,2,68,19120,9,0.00020799999999998597,0
0,2,58,19121,1,0.018396999999999997,0
1,2,68,19121,9,0.00019600000000002948,0
1,2,60,22062,0,0.016166999999999987,0
0,2,58,19122,1,0.04875099999999999,0
0,2,58,19123,1,3.0000000000030003e-05,0
1,2,68,19122,9,0.00015799999999999148,0
1,2,68,19123,9,5.499999999997174e-05,0
1,2,78,43813,11,0.01499900000000004,0
1,2,60,22063,0,5.3999999999998494e-05,0
1,2,60,22064,0,0.06395599999999996,0
0,2,58,19124,1,0.03118800000000005,0
1,2,68,19124,9,0.00017899999999998473,0
0,2,58,19125,1,0.0012240000000000029,0
1,2,68,19125,9,0.00018200000000001548,0
1,2,78,43814,11,0.031194,0
1,2,60,22065,0,4.799999999993698e-05,0
1,2,60,22066,0,0.05598700000000001,0
0,2,58,19126,1,0.015708999999999973,0
1,2,68,19126,9,0.0002620000000000955,0
1,2,78,43815,11,0.04802299999999993,0
1,2,60,22067,0,5.3999999999998494e-05,0
0,2,58,19127,1,0.060338,0
1,2,68,19127,9,0.00022200000000005549,0
1,2,60,22068,0,0.003383000000000025,0
0,2,58,19128,1,0.03615199999999996,0
1,2,68,19128,9,0.00024000000000001798,0
0,2,58,19129,1,0.011265999999999998,0
1,2,68,19129,9,0.0002329999999999277,0
1,2,78,43816,11,0.01607000000000003,0
1,2,60,22069,0,4.999999999999449e-05,0
1,2,60,22070,0,0.063971,0
0,2,58,19130,1,0.004095000000000071,0
1,2,68,19130,9,0.0002469999999999972,0
1,2,78,43817,11,0.05168399999999995,0
1,2,60,22071,0,5.2000000000052005e-05,0
0,2,58,19131,1,0.03738799999999998,0
1,2,68,19131,9,0.00027599999999994296,0
1,2,60,22072,0,0.026285000000000003,0
0,2,58,19132,1,0.0044800000000000395,0
1,2,68,19132,9,0.00019299999999999873,0
0,2,58,19133,1,0.035799000000000025,0
1,2,68,19133,9,0.00023899999999998922,0
0,2,58,19134,1,0.018841999999999914,0
1,2,68,19134,9,0.00026300000000012425,0
1,2,78,43818,11,0.004157999999999884,0
1,2,60,22073,0,2.1000000000048757e-05,0
1,2,60,22074,0,0.0640369999999999,0
0,2,58,19135,1,0.04656500000000019,0
1,2,68,19135,9,0.00020599999999992846,0
1,2,78,43819,11,0.017193000000000014,0
1,2,60,22075,0,1.8999999999991246e-05,0
0,2,58,19136,1,0.05162099999999992,0
1,2,68,19136,9,0.00026199999999998447,0
1,2,60,22076,0,0.004139000000000115,0
0,2,58,19137,1,0.045842999999999856,0
1,2,68,19137,9,0.000324000000000213,0
1,2,78,43820,11,0.017795000000000005,0
1,2,60,22077,0,1.8999999999991246e-05,0
0,2,58,19138,1,0.0488099999999998,0
1,2,68,19138,9,0.00024000000000001798,0
1,2,60,22078,0,0.01493600000000006,0
0,2,58,19139,1,0.04858000000000007,0
1,2,68,19139,9,0.00023599999999990295,0
1,2,78,43821,11,0.015182000000000029,0
1,2,60,22079,0,5.300000000008076e-05,0
1,2,60,22080,0,0.06394599999999984,0
0,2,58,19140,1,6.800000000017903e-05,0
1,2,68,19140,9,0.0001909999999998302,0
1,2,78,43822,11,0.05576400000000015,0
1,2,60,22081,0,5.499999999991623e-05,0
0,2,58,19141,1,0.053068000000000115,0
1,2,68,19141,9,0.00024999999999986144,0
1,2,60,22082,0,0.01060300000000014,0
1,2,78,43823,11,0.06405099999999986,0
1,2,60,22083,0,1.8999999999991246e-05,0
0,2,58,19142,1,0.043530999999999986,0
1,2,68,19142,9,0.000244000000000133,0
0,2,58,19143,1,0.01901699999999984,0
1,2,68,19143,9,0.00020700000000006824,0
1,2,60,22084,0,0.0009639999999999649,0
1,2,78,43824,11,0.06399900000000014,0
1,2,60,22085,0,1.8999999999991246e-05,0
0,2,58,19144,1,0.03866599999999987,0
1,2,68,19144,9,0.00043999999999999595,0
0,2,58,19145,1,0.020221000000000044,0
1,2,68,19145,9,0.00020299999999995322,0
1,2,60,22086,0,0.0043920000000001735,0
1,2,78,43825,11,0.056016999999999983,0
1,2,60,22087,0,1.7999999999851468e-05,0
0,2,58,19146,1,0.02133700000000016,0
1,2,68,19146,9,0.00034800000000001496,0
0,2,58,19147,1,0.00398099999999979,0
1,2,68,19147,9,0.00018400000000018402,0
1,2,60,22088,0,0.03812899999999986,0
0,2,58,19148,1,0.024455000000000116,0
1,2,68,19148,9,0.00024599999999996847,0
1,2,78,43826,11,0.039295999999999776,0
1,2,60,22089,0,1.8999999999991246e-05,0
0,2,58,19149,1,0.06266900000000009,0
1,2,68,19149,9,0.0002420000000000755,0
1,2,60,22090,0,0.0010620000000001184,0
0,2,58,19150,1,0.020874999999999755,0
1,2,68,19150,9,0.00022400000000022402,0
1,2,78,43827,11,0.04289200000000015,0
1,2,60,22091,0,1.7999999999851468e-05,0
